split,variable,scope,lead_h,elev_bin,elev_label,rmse_raw,rmse_tier_a,n
train_self,t2m,lead_24h,24,,,1.8505634797722712,1.5328189509535113,27972
train_self,t2m,lead_72h,72,,,2.213726651571546,1.8257492681759881,27972
train_self,t2m,lead_120h,120,,,2.427481319825417,2.1411250939822755,27972
val,t2m,lead_24h,24,,,1.6969951939932033,1.436098915390562,12432
val,t2m,lead_72h,72,,,2.1385141963788143,1.837887089557648,12432
val,t2m,lead_120h,120,,,2.1788417795620476,1.9624873314204445,12432
test,t2m,lead_24h,24,,,1.945683216506152,1.6100509121633593,12432
test,t2m,lead_72h,72,,,2.2425904968762773,1.8788068135172393,12432
test,t2m,lead_120h,120,,,1.8324322872409673,1.8383128457502262,12432
train_self,t2m,elev_bin,,0,"[0,1500)m",1.413401392027808,1.2534750528991432,34776
train_self,t2m,elev_bin,,1,"[1500,3000)m",2.016685334886006,1.7283563733130896,6588
train_self,t2m,elev_bin,,2,"[3000,4500)m",2.2727024209500284,2.0006550487016534,6912
train_self,t2m,elev_bin,,3,"[4500,9000]m",2.7305786224974233,2.2796327237343488,35640
val,t2m,elev_bin,,0,"[0,1500)m",1.399551560794559,1.2526477899011392,15456
val,t2m,elev_bin,,1,"[1500,3000)m",1.8220123271725,1.6637676824095895,2928
val,t2m,elev_bin,,2,"[3000,4500)m",2.309076966626814,2.0659481410930254,3072
val,t2m,elev_bin,,3,"[4500,9000]m",2.45285458242846,2.1028409084995463,15840
test,t2m,elev_bin,,0,"[0,1500)m",1.3007579002067977,1.19018733902681,15456
test,t2m,elev_bin,,1,"[1500,3000)m",1.6723108204291903,1.6053222643792378,2928
test,t2m,elev_bin,,2,"[3000,4500)m",2.1707083812945394,2.067891622153948,3072
test,t2m,elev_bin,,3,"[4500,9000]m",2.544009627658922,2.183896820944461,15840
