split,variable,scope,rmse_raw,rmse_tier_a,n,beat_val_bar,beat_test_bar,raw_val_120h_bar
train_self,t2m,pooled,2.1769884733002436,1.849982972419655,83916,1.988588,1.918383,2.178841818082155
train_self,t2m,lead_mean,,1.8332311043705918,83916,1.988588,1.918383,2.178841818082155
train_self,t2m,lead_24h,1.8505634797722712,1.5328189509535113,27972,1.988588,1.918383,2.178841818082155
train_self,t2m,lead_72h,2.213726651571546,1.8257492681759881,27972,1.988588,1.918383,2.178841818082155
train_self,t2m,lead_120h,2.427481319825417,2.1411250939822755,27972,1.988588,1.918383,2.178841818082155
val,t2m,pooled,2.0166297922453746,1.7598830997857373,37296,1.988588,1.918383,2.178841818082155
val,t2m,lead_mean,,1.7454911121228847,37296,1.988588,1.918383,2.178841818082155
val,t2m,lead_24h,1.6969951939932033,1.436098915390562,12432,1.988588,1.918383,2.178841818082155
val,t2m,lead_72h,2.1385141963788143,1.837887089557648,12432,1.988588,1.918383,2.178841818082155
val,t2m,lead_120h,2.1788417795620476,1.9624873314204445,12432,1.988588,1.918383,2.178841818082155
test,t2m,pooled,2.014340537495806,1.7796603703260503,37296,1.988588,1.918383,2.178841818082155
test,t2m,lead_mean,,1.775723523810275,37296,1.988588,1.918383,2.178841818082155
test,t2m,lead_24h,1.945683216506152,1.6100509121633593,12432,1.988588,1.918383,2.178841818082155
test,t2m,lead_72h,2.2425904968762773,1.8788068135172393,12432,1.988588,1.918383,2.178841818082155
test,t2m,lead_120h,1.8324322872409673,1.8383128457502262,12432,1.988588,1.918383,2.178841818082155
